,CALENDAR_DATE,YEAR,MONTH_OF_THE_YEAR,DAY_OF_THE_MONTH,WEEK_OF_THE_YEAR,YEAR_QUARTER
82,1999-03-24,1999,3,24,12,1
83,1999-03-25,1999,3,25,12,1
84,1999-03-26,1999,3,26,12,1
85,1999-03-27,1999,3,27,12,1
86,1999-03-28,1999,3,28,12,1
87,1999-03-29,1999,3,29,13,1
88,1999-03-30,1999,3,30,13,1
89,1999-03-31,1999,3,31,13,1
90,1999-04-01,1999,4,1,13,2
91,1999-04-02,1999,4,2,13,2
92,1999-04-03,1999,4,3,13,2
93,1999-04-04,1999,4,4,13,2
94,1999-04-05,1999,4,5,14,2
95,1999-04-06,1999,4,6,14,2
96,1999-04-07,1999,4,7,14,2
97,1999-04-08,1999,4,8,14,2
98,1999-04-09,1999,4,9,14,2
99,1999-04-10,1999,4,10,14,2
100,1999-04-11,1999,4,11,14,2
101,1999-04-12,1999,4,12,15,2
102,1999-04-13,1999,4,13,15,2
103,1999-04-14,1999,4,14,15,2
104,1999-04-15,1999,4,15,15,2
105,1999-04-16,1999,4,16,15,2
106,1999-04-17,1999,4,17,15,2
107,1999-04-18,1999,4,18,15,2
108,1999-04-19,1999,4,19,16,2
109,1999-04-20,1999,4,20,16,2
110,1999-04-21,1999,4,21,16,2
111,1999-04-22,1999,4,22,16,2
112,1999-04-23,1999,4,23,16,2
113,1999-04-24,1999,4,24,16,2
114,1999-04-25,1999,4,25,16,2
115,1999-04-26,1999,4,26,17,2
116,1999-04-27,1999,4,27,17,2
117,1999-04-28,1999,4,28,17,2
118,1999-04-29,1999,4,29,17,2
119,1999-04-30,1999,4,30,17,2
120,1999-05-01,1999,5,1,17,2
121,1999-05-02,1999,5,2,17,2
122,1999-05-03,1999,5,3,18,2
123,1999-05-04,1999,5,4,18,2
124,1999-05-05,1999,5,5,18,2
125,1999-05-06,1999,5,6,18,2
126,1999-05-07,1999,5,7,18,2
127,1999-05-08,1999,5,8,18,2
128,1999-05-09,1999,5,9,18,2
129,1999-05-10,1999,5,10,19,2
130,1999-05-11,1999,5,11,19,2
131,1999-05-12,1999,5,12,19,2
132,1999-05-13,1999,5,13,19,2
133,1999-05-14,1999,5,14,19,2
134,1999-05-15,1999,5,15,19,2
135,1999-05-16,1999,5,16,19,2
136,1999-05-17,1999,5,17,20,2
137,1999-05-18,1999,5,18,20,2
138,1999-05-19,1999,5,19,20,2
139,1999-05-20,1999,5,20,20,2
140,1999-05-21,1999,5,21,20,2
141,1999-05-22,1999,5,22,20,2
142,1999-05-23,1999,5,23,20,2
143,1999-05-24,1999,5,24,21,2
144,1999-05-25,1999,5,25,21,2
145,1999-05-26,1999,5,26,21,2
146,1999-05-27,1999,5,27,21,2
147,1999-05-28,1999,5,28,21,2
148,1999-05-29,1999,5,29,21,2
149,1999-05-30,1999,5,30,21,2
150,1999-05-31,1999,5,31,22,2
151,1999-06-01,1999,6,1,22,2
152,1999-06-02,1999,6,2,22,2
153,1999-06-03,1999,6,3,22,2
154,1999-06-04,1999,6,4,22,2
155,1999-06-05,1999,6,5,22,2
156,1999-06-06,1999,6,6,22,2
157,1999-06-07,1999,6,7,23,2
158,1999-06-08,1999,6,8,23,2
159,1999-06-09,1999,6,9,23,2
160,1999-06-10,1999,6,10,23,2
161,1999-06-11,1999,6,11,23,2
162,1999-06-12,1999,6,12,23,2
163,1999-06-13,1999,6,13,23,2
164,1999-06-14,1999,6,14,24,2
165,1999-06-15,1999,6,15,24,2
166,1999-06-16,1999,6,16,24,2
167,1999-06-17,1999,6,17,24,2
168,1999-06-18,1999,6,18,24,2
169,1999-06-19,1999,6,19,24,2
170,1999-06-20,1999,6,20,24,2
171,1999-06-21,1999,6,21,25,2
172,1999-06-22,1999,6,22,25,2
173,1999-06-23,1999,6,23,25,2
174,1999-06-24,1999,6,24,25,2
175,1999-06-25,1999,6,25,25,2
176,1999-06-26,1999,6,26,25,2
177,1999-06-27,1999,6,27,25,2
178,1999-06-28,1999,6,28,26,2
179,1999-06-29,1999,6,29,26,2
180,1999-06-30,1999,6,30,26,2
181,1999-07-01,1999,7,1,26,3
182,1999-07-02,1999,7,2,26,3
183,1999-07-03,1999,7,3,26,3
184,1999-07-04,1999,7,4,26,3
185,1999-07-05,1999,7,5,27,3
186,1999-07-06,1999,7,6,27,3
187,1999-07-07,1999,7,7,27,3
188,1999-07-08,1999,7,8,27,3
189,1999-07-09,1999,7,9,27,3
190,1999-07-10,1999,7,10,27,3
191,1999-07-11,1999,7,11,27,3
192,1999-07-12,1999,7,12,28,3
193,1999-07-13,1999,7,13,28,3
194,1999-07-14,1999,7,14,28,3
195,1999-07-15,1999,7,15,28,3
196,1999-07-16,1999,7,16,28,3
197,1999-07-17,1999,7,17,28,3
198,1999-07-18,1999,7,18,28,3
199,1999-07-19,1999,7,19,29,3
200,1999-07-20,1999,7,20,29,3
201,1999-07-21,1999,7,21,29,3
202,1999-07-22,1999,7,22,29,3
203,1999-07-23,1999,7,23,29,3
204,1999-07-24,1999,7,24,29,3
205,1999-07-25,1999,7,25,29,3
206,1999-07-26,1999,7,26,30,3
207,1999-07-27,1999,7,27,30,3
208,1999-07-28,1999,7,28,30,3
209,1999-07-29,1999,7,29,30,3
210,1999-07-30,1999,7,30,30,3
211,1999-07-31,1999,7,31,30,3
212,1999-08-01,1999,8,1,30,3
213,1999-08-02,1999,8,2,31,3
214,1999-08-03,1999,8,3,31,3
215,1999-08-04,1999,8,4,31,3
216,1999-08-05,1999,8,5,31,3
217,1999-08-06,1999,8,6,31,3
218,1999-08-07,1999,8,7,31,3
219,1999-08-08,1999,8,8,31,3
220,1999-08-09,1999,8,9,32,3
221,1999-08-10,1999,8,10,32,3
222,1999-08-11,1999,8,11,32,3
223,1999-08-12,1999,8,12,32,3
224,1999-08-13,1999,8,13,32,3
225,1999-08-14,1999,8,14,32,3
226,1999-08-15,1999,8,15,32,3
227,1999-08-16,1999,8,16,33,3
228,1999-08-17,1999,8,17,33,3
229,1999-08-18,1999,8,18,33,3
230,1999-08-19,1999,8,19,33,3
231,1999-08-20,1999,8,20,33,3
232,1999-08-21,1999,8,21,33,3
233,1999-08-22,1999,8,22,33,3
234,1999-08-23,1999,8,23,34,3
235,1999-08-24,1999,8,24,34,3
236,1999-08-25,1999,8,25,34,3
237,1999-08-26,1999,8,26,34,3
238,1999-08-27,1999,8,27,34,3
239,1999-08-28,1999,8,28,34,3
240,1999-08-29,1999,8,29,34,3
241,1999-08-30,1999,8,30,35,3
242,1999-08-31,1999,8,31,35,3
243,1999-09-01,1999,9,1,35,3
244,1999-09-02,1999,9,2,35,3
245,1999-09-03,1999,9,3,35,3
246,1999-09-04,1999,9,4,35,3
247,1999-09-05,1999,9,5,35,3
248,1999-09-06,1999,9,6,36,3
249,1999-09-07,1999,9,7,36,3
250,1999-09-08,1999,9,8,36,3
251,1999-09-09,1999,9,9,36,3
252,1999-09-10,1999,9,10,36,3
253,1999-09-11,1999,9,11,36,3
254,1999-09-12,1999,9,12,36,3
255,1999-09-13,1999,9,13,37,3
256,1999-09-14,1999,9,14,37,3
257,1999-09-15,1999,9,15,37,3
258,1999-09-16,1999,9,16,37,3
259,1999-09-17,1999,9,17,37,3
260,1999-09-18,1999,9,18,37,3
261,1999-09-19,1999,9,19,37,3
262,1999-09-20,1999,9,20,38,3
263,1999-09-21,1999,9,21,38,3
264,1999-09-22,1999,9,22,38,3
265,1999-09-23,1999,9,23,38,3
266,1999-09-24,1999,9,24,38,3
267,1999-09-25,1999,9,25,38,3
268,1999-09-26,1999,9,26,38,3
269,1999-09-27,1999,9,27,39,3
270,1999-09-28,1999,9,28,39,3
271,1999-09-29,1999,9,29,39,3
272,1999-09-30,1999,9,30,39,3
273,1999-10-01,1999,10,1,39,4
274,1999-10-02,1999,10,2,39,4
275,1999-10-03,1999,10,3,39,4
276,1999-10-04,1999,10,4,40,4
277,1999-10-05,1999,10,5,40,4
278,1999-10-06,1999,10,6,40,4
279,1999-10-07,1999,10,7,40,4
280,1999-10-08,1999,10,8,40,4
281,1999-10-09,1999,10,9,40,4
282,1999-10-10,1999,10,10,40,4
283,1999-10-11,1999,10,11,41,4
284,1999-10-12,1999,10,12,41,4
285,1999-10-13,1999,10,13,41,4
286,1999-10-14,1999,10,14,41,4
287,1999-10-15,1999,10,15,41,4
288,1999-10-16,1999,10,16,41,4
289,1999-10-17,1999,10,17,41,4
290,1999-10-18,1999,10,18,42,4
291,1999-10-19,1999,10,19,42,4
292,1999-10-20,1999,10,20,42,4
293,1999-10-21,1999,10,21,42,4
294,1999-10-22,1999,10,22,42,4
295,1999-10-23,1999,10,23,42,4
296,1999-10-24,1999,10,24,42,4
297,1999-10-25,1999,10,25,43,4
298,1999-10-26,1999,10,26,43,4
299,1999-10-27,1999,10,27,43,4
300,1999-10-28,1999,10,28,43,4
301,1999-10-29,1999,10,29,43,4
302,1999-10-30,1999,10,30,43,4
303,1999-10-31,1999,10,31,43,4
304,1999-11-01,1999,11,1,44,4
305,1999-11-02,1999,11,2,44,4
306,1999-11-03,1999,11,3,44,4
307,1999-11-04,1999,11,4,44,4
308,1999-11-05,1999,11,5,44,4
309,1999-11-06,1999,11,6,44,4
310,1999-11-07,1999,11,7,44,4
311,1999-11-08,1999,11,8,45,4
312,1999-11-09,1999,11,9,45,4
313,1999-11-10,1999,11,10,45,4
314,1999-11-11,1999,11,11,45,4
315,1999-11-12,1999,11,12,45,4
316,1999-11-13,1999,11,13,45,4
317,1999-11-14,1999,11,14,45,4
318,1999-11-15,1999,11,15,46,4
319,1999-11-16,1999,11,16,46,4
320,1999-11-17,1999,11,17,46,4
321,1999-11-18,1999,11,18,46,4
322,1999-11-19,1999,11,19,46,4
323,1999-11-20,1999,11,20,46,4
324,1999-11-21,1999,11,21,46,4
325,1999-11-22,1999,11,22,47,4
326,1999-11-23,1999,11,23,47,4
327,1999-11-24,1999,11,24,47,4
328,1999-11-25,1999,11,25,47,4
329,1999-11-26,1999,11,26,47,4
330,1999-11-27,1999,11,27,47,4
331,1999-11-28,1999,11,28,47,4
332,1999-11-29,1999,11,29,48,4
333,1999-11-30,1999,11,30,48,4
334,1999-12-01,1999,12,1,48,4
335,1999-12-02,1999,12,2,48,4
336,1999-12-03,1999,12,3,48,4
337,1999-12-04,1999,12,4,48,4
338,1999-12-05,1999,12,5,48,4
339,1999-12-06,1999,12,6,49,4
340,1999-12-07,1999,12,7,49,4
341,1999-12-08,1999,12,8,49,4
342,1999-12-09,1999,12,9,49,4
343,1999-12-10,1999,12,10,49,4
344,1999-12-11,1999,12,11,49,4
345,1999-12-12,1999,12,12,49,4
346,1999-12-13,1999,12,13,50,4
347,1999-12-14,1999,12,14,50,4
348,1999-12-15,1999,12,15,50,4
349,1999-12-16,1999,12,16,50,4
350,1999-12-17,1999,12,17,50,4
351,1999-12-18,1999,12,18,50,4
352,1999-12-19,1999,12,19,50,4
353,1999-12-20,1999,12,20,51,4
354,1999-12-21,1999,12,21,51,4
355,1999-12-22,1999,12,22,51,4
356,1999-12-23,1999,12,23,51,4
357,1999-12-24,1999,12,24,51,4
358,1999-12-25,1999,12,25,51,4
359,1999-12-26,1999,12,26,51,4
360,1999-12-27,1999,12,27,52,4
361,1999-12-28,1999,12,28,52,4
362,1999-12-29,1999,12,29,52,4
363,1999-12-30,1999,12,30,52,4
364,1999-12-31,1999,12,31,52,4
365,2000-01-01,2000,1,1,52,1
366,2000-01-02,2000,1,2,52,1
367,2000-01-03,2000,1,3,1,1
368,2000-01-04,2000,1,4,1,1
369,2000-01-05,2000,1,5,1,1
370,2000-01-06,2000,1,6,1,1
371,2000-01-07,2000,1,7,1,1
372,2000-01-08,2000,1,8,1,1
373,2000-01-09,2000,1,9,1,1
374,2000-01-10,2000,1,10,2,1
375,2000-01-11,2000,1,11,2,1
376,2000-01-12,2000,1,12,2,1
377,2000-01-13,2000,1,13,2,1
378,2000-01-14,2000,1,14,2,1
379,2000-01-15,2000,1,15,2,1
380,2000-01-16,2000,1,16,2,1
381,2000-01-17,2000,1,17,3,1
382,2000-01-18,2000,1,18,3,1
383,2000-01-19,2000,1,19,3,1
384,2000-01-20,2000,1,20,3,1
385,2000-01-21,2000,1,21,3,1
386,2000-01-22,2000,1,22,3,1
387,2000-01-23,2000,1,23,3,1
388,2000-01-24,2000,1,24,4,1
389,2000-01-25,2000,1,25,4,1
390,2000-01-26,2000,1,26,4,1
391,2000-01-27,2000,1,27,4,1
392,2000-01-28,2000,1,28,4,1
393,2000-01-29,2000,1,29,4,1
394,2000-01-30,2000,1,30,4,1
395,2000-01-31,2000,1,31,5,1
396,2000-02-01,2000,2,1,5,1
397,2000-02-02,2000,2,2,5,1
398,2000-02-03,2000,2,3,5,1
399,2000-02-04,2000,2,4,5,1
400,2000-02-05,2000,2,5,5,1
401,2000-02-06,2000,2,6,5,1
402,2000-02-07,2000,2,7,6,1
403,2000-02-08,2000,2,8,6,1
404,2000-02-09,2000,2,9,6,1
405,2000-02-10,2000,2,10,6,1
406,2000-02-11,2000,2,11,6,1
407,2000-02-12,2000,2,12,6,1
408,2000-02-13,2000,2,13,6,1
409,2000-02-14,2000,2,14,7,1
410,2000-02-15,2000,2,15,7,1
411,2000-02-16,2000,2,16,7,1
412,2000-02-17,2000,2,17,7,1
413,2000-02-18,2000,2,18,7,1
414,2000-02-19,2000,2,19,7,1
415,2000-02-20,2000,2,20,7,1
416,2000-02-21,2000,2,21,8,1
417,2000-02-22,2000,2,22,8,1
418,2000-02-23,2000,2,23,8,1
419,2000-02-24,2000,2,24,8,1
420,2000-02-25,2000,2,25,8,1
421,2000-02-26,2000,2,26,8,1
422,2000-02-27,2000,2,27,8,1
423,2000-02-28,2000,2,28,9,1
424,2000-02-29,2000,2,29,9,1
425,2000-03-01,2000,3,1,9,1
426,2000-03-02,2000,3,2,9,1
427,2000-03-03,2000,3,3,9,1
428,2000-03-04,2000,3,4,9,1
429,2000-03-05,2000,3,5,9,1
430,2000-03-06,2000,3,6,10,1
431,2000-03-07,2000,3,7,10,1
432,2000-03-08,2000,3,8,10,1
433,2000-03-09,2000,3,9,10,1
434,2000-03-10,2000,3,10,10,1
435,2000-03-11,2000,3,11,10,1
436,2000-03-12,2000,3,12,10,1
437,2000-03-13,2000,3,13,11,1
438,2000-03-14,2000,3,14,11,1
439,2000-03-15,2000,3,15,11,1
440,2000-03-16,2000,3,16,11,1
441,2000-03-17,2000,3,17,11,1
442,2000-03-18,2000,3,18,11,1
443,2000-03-19,2000,3,19,11,1
444,2000-03-20,2000,3,20,12,1
445,2000-03-21,2000,3,21,12,1
446,2000-03-22,2000,3,22,12,1
447,2000-03-23,2000,3,23,12,1
448,2000-03-24,2000,3,24,12,1
449,2000-03-25,2000,3,25,12,1
450,2000-03-26,2000,3,26,12,1
451,2000-03-27,2000,3,27,13,1
452,2000-03-28,2000,3,28,13,1
453,2000-03-29,2000,3,29,13,1
454,2000-03-30,2000,3,30,13,1
455,2000-03-31,2000,3,31,13,1
456,2000-04-01,2000,4,1,13,2
457,2000-04-02,2000,4,2,13,2
458,2000-04-03,2000,4,3,14,2
459,2000-04-04,2000,4,4,14,2
460,2000-04-05,2000,4,5,14,2
461,2000-04-06,2000,4,6,14,2
462,2000-04-07,2000,4,7,14,2
463,2000-04-08,2000,4,8,14,2
464,2000-04-09,2000,4,9,14,2
465,2000-04-10,2000,4,10,15,2
466,2000-04-11,2000,4,11,15,2
467,2000-04-12,2000,4,12,15,2
468,2000-04-13,2000,4,13,15,2
469,2000-04-14,2000,4,14,15,2
470,2000-04-15,2000,4,15,15,2
471,2000-04-16,2000,4,16,15,2
472,2000-04-17,2000,4,17,16,2
473,2000-04-18,2000,4,18,16,2
474,2000-04-19,2000,4,19,16,2
475,2000-04-20,2000,4,20,16,2
476,2000-04-21,2000,4,21,16,2
477,2000-04-22,2000,4,22,16,2
478,2000-04-23,2000,4,23,16,2
479,2000-04-24,2000,4,24,17,2
480,2000-04-25,2000,4,25,17,2
481,2000-04-26,2000,4,26,17,2
482,2000-04-27,2000,4,27,17,2
483,2000-04-28,2000,4,28,17,2
484,2000-04-29,2000,4,29,17,2
485,2000-04-30,2000,4,30,17,2
486,2000-05-01,2000,5,1,18,2
487,2000-05-02,2000,5,2,18,2
488,2000-05-03,2000,5,3,18,2
489,2000-05-04,2000,5,4,18,2
490,2000-05-05,2000,5,5,18,2
491,2000-05-06,2000,5,6,18,2
492,2000-05-07,2000,5,7,18,2
493,2000-05-08,2000,5,8,19,2
494,2000-05-09,2000,5,9,19,2
495,2000-05-10,2000,5,10,19,2
496,2000-05-11,2000,5,11,19,2
497,2000-05-12,2000,5,12,19,2
498,2000-05-13,2000,5,13,19,2
499,2000-05-14,2000,5,14,19,2
500,2000-05-15,2000,5,15,20,2
501,2000-05-16,2000,5,16,20,2
502,2000-05-17,2000,5,17,20,2
503,2000-05-18,2000,5,18,20,2
504,2000-05-19,2000,5,19,20,2
505,2000-05-20,2000,5,20,20,2
506,2000-05-21,2000,5,21,20,2
507,2000-05-22,2000,5,22,21,2
508,2000-05-23,2000,5,23,21,2
509,2000-05-24,2000,5,24,21,2
510,2000-05-25,2000,5,25,21,2
511,2000-05-26,2000,5,26,21,2
512,2000-05-27,2000,5,27,21,2
513,2000-05-28,2000,5,28,21,2
514,2000-05-29,2000,5,29,22,2
515,2000-05-30,2000,5,30,22,2
516,2000-05-31,2000,5,31,22,2
517,2000-06-01,2000,6,1,22,2
518,2000-06-02,2000,6,2,22,2
519,2000-06-03,2000,6,3,22,2
520,2000-06-04,2000,6,4,22,2
521,2000-06-05,2000,6,5,23,2
522,2000-06-06,2000,6,6,23,2
523,2000-06-07,2000,6,7,23,2
524,2000-06-08,2000,6,8,23,2
525,2000-06-09,2000,6,9,23,2
526,2000-06-10,2000,6,10,23,2
527,2000-06-11,2000,6,11,23,2
528,2000-06-12,2000,6,12,24,2
529,2000-06-13,2000,6,13,24,2
530,2000-06-14,2000,6,14,24,2
531,2000-06-15,2000,6,15,24,2
532,2000-06-16,2000,6,16,24,2
533,2000-06-17,2000,6,17,24,2
534,2000-06-18,2000,6,18,24,2
535,2000-06-19,2000,6,19,25,2
536,2000-06-20,2000,6,20,25,2
537,2000-06-21,2000,6,21,25,2
538,2000-06-22,2000,6,22,25,2
539,2000-06-23,2000,6,23,25,2
540,2000-06-24,2000,6,24,25,2
541,2000-06-25,2000,6,25,25,2
542,2000-06-26,2000,6,26,26,2
543,2000-06-27,2000,6,27,26,2
544,2000-06-28,2000,6,28,26,2
545,2000-06-29,2000,6,29,26,2
546,2000-06-30,2000,6,30,26,2
547,2000-07-01,2000,7,1,26,3
548,2000-07-02,2000,7,2,26,3
549,2000-07-03,2000,7,3,27,3
550,2000-07-04,2000,7,4,27,3
551,2000-07-05,2000,7,5,27,3
552,2000-07-06,2000,7,6,27,3
553,2000-07-07,2000,7,7,27,3
554,2000-07-08,2000,7,8,27,3
555,2000-07-09,2000,7,9,27,3
556,2000-07-10,2000,7,10,28,3
557,2000-07-11,2000,7,11,28,3
558,2000-07-12,2000,7,12,28,3
559,2000-07-13,2000,7,13,28,3
560,2000-07-14,2000,7,14,28,3
561,2000-07-15,2000,7,15,28,3
562,2000-07-16,2000,7,16,28,3
563,2000-07-17,2000,7,17,29,3
564,2000-07-18,2000,7,18,29,3
565,2000-07-19,2000,7,19,29,3
566,2000-07-20,2000,7,20,29,3
567,2000-07-21,2000,7,21,29,3
568,2000-07-22,2000,7,22,29,3
569,2000-07-23,2000,7,23,29,3
570,2000-07-24,2000,7,24,30,3
571,2000-07-25,2000,7,25,30,3
572,2000-07-26,2000,7,26,30,3
573,2000-07-27,2000,7,27,30,3
574,2000-07-28,2000,7,28,30,3
575,2000-07-29,2000,7,29,30,3
576,2000-07-30,2000,7,30,30,3
577,2000-07-31,2000,7,31,31,3
578,2000-08-01,2000,8,1,31,3
579,2000-08-02,2000,8,2,31,3
580,2000-08-03,2000,8,3,31,3
581,2000-08-04,2000,8,4,31,3
582,2000-08-05,2000,8,5,31,3
583,2000-08-06,2000,8,6,31,3
584,2000-08-07,2000,8,7,32,3
585,2000-08-08,2000,8,8,32,3
586,2000-08-09,2000,8,9,32,3
587,2000-08-10,2000,8,10,32,3
588,2000-08-11,2000,8,11,32,3
589,2000-08-12,2000,8,12,32,3
590,2000-08-13,2000,8,13,32,3
591,2000-08-14,2000,8,14,33,3
592,2000-08-15,2000,8,15,33,3
593,2000-08-16,2000,8,16,33,3
594,2000-08-17,2000,8,17,33,3
595,2000-08-18,2000,8,18,33,3
596,2000-08-19,2000,8,19,33,3
597,2000-08-20,2000,8,20,33,3
598,2000-08-21,2000,8,21,34,3
599,2000-08-22,2000,8,22,34,3
600,2000-08-23,2000,8,23,34,3
601,2000-08-24,2000,8,24,34,3
602,2000-08-25,2000,8,25,34,3
603,2000-08-26,2000,8,26,34,3
604,2000-08-27,2000,8,27,34,3
605,2000-08-28,2000,8,28,35,3
606,2000-08-29,2000,8,29,35,3
607,2000-08-30,2000,8,30,35,3
608,2000-08-31,2000,8,31,35,3
609,2000-09-01,2000,9,1,35,3
610,2000-09-02,2000,9,2,35,3
611,2000-09-03,2000,9,3,35,3
612,2000-09-04,2000,9,4,36,3
613,2000-09-05,2000,9,5,36,3
614,2000-09-06,2000,9,6,36,3
615,2000-09-07,2000,9,7,36,3
616,2000-09-08,2000,9,8,36,3
617,2000-09-09,2000,9,9,36,3
618,2000-09-10,2000,9,10,36,3
619,2000-09-11,2000,9,11,37,3
620,2000-09-12,2000,9,12,37,3
621,2000-09-13,2000,9,13,37,3
622,2000-09-14,2000,9,14,37,3
623,2000-09-15,2000,9,15,37,3
624,2000-09-16,2000,9,16,37,3
625,2000-09-17,2000,9,17,37,3
626,2000-09-18,2000,9,18,38,3
627,2000-09-19,2000,9,19,38,3
628,2000-09-20,2000,9,20,38,3
629,2000-09-21,2000,9,21,38,3
630,2000-09-22,2000,9,22,38,3
631,2000-09-23,2000,9,23,38,3
632,2000-09-24,2000,9,24,38,3
633,2000-09-25,2000,9,25,39,3
634,2000-09-26,2000,9,26,39,3
635,2000-09-27,2000,9,27,39,3
636,2000-09-28,2000,9,28,39,3
637,2000-09-29,2000,9,29,39,3
638,2000-09-30,2000,9,30,39,3
639,2000-10-01,2000,10,1,39,4
640,2000-10-02,2000,10,2,40,4
641,2000-10-03,2000,10,3,40,4
642,2000-10-04,2000,10,4,40,4
643,2000-10-05,2000,10,5,40,4
644,2000-10-06,2000,10,6,40,4
645,2000-10-07,2000,10,7,40,4
646,2000-10-08,2000,10,8,40,4
647,2000-10-09,2000,10,9,41,4
648,2000-10-10,2000,10,10,41,4
649,2000-10-11,2000,10,11,41,4
650,2000-10-12,2000,10,12,41,4
651,2000-10-13,2000,10,13,41,4
652,2000-10-14,2000,10,14,41,4
653,2000-10-15,2000,10,15,41,4
654,2000-10-16,2000,10,16,42,4
655,2000-10-17,2000,10,17,42,4
656,2000-10-18,2000,10,18,42,4
657,2000-10-19,2000,10,19,42,4
658,2000-10-20,2000,10,20,42,4
659,2000-10-21,2000,10,21,42,4
660,2000-10-22,2000,10,22,42,4
661,2000-10-23,2000,10,23,43,4
662,2000-10-24,2000,10,24,43,4
663,2000-10-25,2000,10,25,43,4
664,2000-10-26,2000,10,26,43,4
665,2000-10-27,2000,10,27,43,4
666,2000-10-28,2000,10,28,43,4
667,2000-10-29,2000,10,29,43,4
668,2000-10-30,2000,10,30,44,4
669,2000-10-31,2000,10,31,44,4
670,2000-11-01,2000,11,1,44,4
671,2000-11-02,2000,11,2,44,4
672,2000-11-03,2000,11,3,44,4
673,2000-11-04,2000,11,4,44,4
674,2000-11-05,2000,11,5,44,4
675,2000-11-06,2000,11,6,45,4
676,2000-11-07,2000,11,7,45,4
677,2000-11-08,2000,11,8,45,4
678,2000-11-09,2000,11,9,45,4
679,2000-11-10,2000,11,10,45,4
680,2000-11-11,2000,11,11,45,4
681,2000-11-12,2000,11,12,45,4
682,2000-11-13,2000,11,13,46,4
683,2000-11-14,2000,11,14,46,4
684,2000-11-15,2000,11,15,46,4
685,2000-11-16,2000,11,16,46,4
686,2000-11-17,2000,11,17,46,4
687,2000-11-18,2000,11,18,46,4
688,2000-11-19,2000,11,19,46,4
689,2000-11-20,2000,11,20,47,4
690,2000-11-21,2000,11,21,47,4
691,2000-11-22,2000,11,22,47,4
